episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,info/num_steps_trained,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_replayed,perf/cpu_util_percent,perf/ram_util_percent,info/timing_breakdown/optimizer_step_time_ms,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles
nan,nan,nan,nan,0,0,False,0,0,1,290c7a0d9e8b4c5f8d89e73023b14207,2020-06-12_19-12-36,1591989156,35.36051344871521,35.36051344871521,70590,nid03826,10.236.16.110,35.36051344871521,0,1,0,0,0,0,0.7117647058823529,2.437254901960784,10007.193,nan,nan,nan,nan,0,nan,nan,[]
nan,nan,nan,nan,0,2500,False,2500,0,2,290c7a0d9e8b4c5f8d89e73023b14207,2020-06-12_19-12-49,1591989169,12.436686038970947,47.79719948768616,70590,nid03826,10.236.16.110,47.79719948768616,2500,2,2500,2500,56,0,0.6411764705882353,2.5,185.373,401.058,nan,nan,8718.583,5,0.2,0.4000000000000001,"[0.0, 0.0, 0.0, 0.6000000000000001, 1.0]"
nan,nan,nan,nan,0,3000,False,5500,0,3,290c7a0d9e8b4c5f8d89e73023b14207,2020-06-12_19-13-00,1591989180,11.208850383758545,59.0060498714447,70590,nid03826,10.236.16.110,59.0060498714447,5500,3,5500,5500,110,0,0.60625,2.5,186.50900000000001,24.283,nan,nan,1916.857,11,0.09090909090909091,0.28747978728803447,"[0.0, 0.0, 0.0, 0.0, 1.0]"
nan,nan,nan,nan,0,2500,False,8000,0,4,290c7a0d9e8b4c5f8d89e73023b14207,2020-06-12_19-13-11,1591989191,11.393966674804688,70.40001654624939,70590,nid03826,10.236.16.110,70.40001654624939,8000,4,8000,8000,166,0,0.6,2.5,180.616,22.73,nan,nan,1971.547,16,0.0625,0.24206145913796356,"[0.0, 0.0, 0.0, 0.0, 1.0]"
nan,nan,nan,nan,0,3000,False,11000,0,5,290c7a0d9e8b4c5f8d89e73023b14207,2020-06-12_19-13-23,1591989203,11.041582345962524,81.44159889221191,70590,nid03826,10.236.16.110,81.44159889221191,11000,5,11000,11000,220,0,0.64,2.5,184.321,21.375,nan,nan,1993.604,22,0.045454545454545456,0.20829889522526548,"[0.0, 0.0, 0.0, 0.0, 1.0]"
nan,nan,nan,nan,0,2500,False,13500,0,6,290c7a0d9e8b4c5f8d89e73023b14207,2020-06-12_19-13-34,1591989214,11.69258737564087,93.13418626785278,70590,nid03826,10.236.16.110,93.13418626785278,13500,6,13500,13500,276,0,0.6,2.5,160.776,22.451,nan,nan,1946.9950000000001,27,0.037037037037037035,0.18885257457751053,"[0.0, 0.0, 0.0, 0.0, 1.0]"
-11600.0,-25390.0,-19852.5,4000.0,4,3000,False,16500,4,7,290c7a0d9e8b4c5f8d89e73023b14207,2020-06-12_19-13-46,1591989226,11.664610385894775,104.79879665374756,70590,nid03826,10.236.16.110,104.79879665374756,16500,7,16500,16500,331,0,0.6294117647058823,2.5,180.448,23.325,nan,nan,2066.061,33,0.030303030303030304,0.17141982574219336,"[0.0, 0.0, 0.0, 0.0, 1.0]"
-3700.0,-25390.0,-16622.0,3342.6,1,2500,False,19000,5,8,290c7a0d9e8b4c5f8d89e73023b14207,2020-06-12_19-13-58,1591989238,11.392524480819702,116.19132113456726,70590,nid03826,10.236.16.110,116.19132113456726,19000,8,19000,19000,386,0,0.64375,2.5,168.465,22.819,nan,nan,2021.065,38,0.02631578947368421,0.16007269816574263,"[0.0, 0.0, 0.0, 0.0, 1.0]"
-3700.0,-25390.0,-16622.0,3342.6,0,3000,False,22000,5,9,290c7a0d9e8b4c5f8d89e73023b14207,2020-06-12_19-14-09,1591989249,11.387052059173584,127.57837319374084,70590,nid03826,10.236.16.110,127.57837319374084,22000,9,22000,22000,441,0,0.65625,2.5,173.886,20.867,nan,nan,2026.71,44,0.022727272727272728,0.14903269373413638,"[0.0, 0.0, 0.0, 0.0, 1.0]"
-3700.0,-25390.0,-16622.0,3342.6,0,2500,False,24500,5,10,290c7a0d9e8b4c5f8d89e73023b14207,2020-06-12_19-14-20,1591989260,11.33120346069336,138.9095766544342,70590,nid03826,10.236.16.110,138.9095766544342,24500,10,24500,24500,497,0,0.625,2.5,171.713,20.972,nan,nan,2008.031,49,0.02040816326530612,0.14139190265868384,"[0.0, 0.0, 0.0, 0.0, 1.0]"
