episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,info/num_steps_trained,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_replayed,perf/cpu_util_percent,perf/ram_util_percent,info/timing_breakdown/optimizer_step_time_ms,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles
nan,nan,nan,nan,0,0,False,0,0,1,1cea942ee6e04492b797d596ced16778,2020-06-12_21-48-13,1591998493,32.22249245643616,32.22249245643616,60524,nid03830,10.236.16.110,32.22249245643616,0,1,0,0,0,0,0.8043478260869565,2.584782608695652,10007.248,nan,nan,nan,nan,0,nan,nan,[]
nan,nan,nan,nan,0,2500,False,2500,0,2,1cea942ee6e04492b797d596ced16778,2020-06-12_21-48-25,1591998505,11.741123914718628,43.963616371154785,60524,nid03830,10.236.16.110,43.963616371154785,2500,2,2500,2500,58,0,0.6470588235294118,2.6,188.102,389.086,nan,nan,8008.0740000000005,5,0.2,0.4000000000000001,"[0.0, 0.0, 0.0, 0.6000000000000001, 1.0]"
nan,nan,nan,nan,0,3000,False,5500,0,3,1cea942ee6e04492b797d596ced16778,2020-06-12_21-48-36,1591998516,11.17431378364563,55.137930154800415,60524,nid03830,10.236.16.110,55.137930154800415,5500,3,5500,5500,113,0,0.625,2.6,187.08,23.199,nan,nan,1822.981,11,0.09090909090909091,0.28747978728803447,"[0.0, 0.0, 0.0, 0.0, 1.0]"
nan,nan,nan,nan,0,2500,False,8000,0,4,1cea942ee6e04492b797d596ced16778,2020-06-12_21-48-48,1591998528,11.48123550415039,66.6191656589508,60524,nid03830,10.236.16.110,66.6191656589508,8000,4,8000,8000,169,0,0.63125,2.6,177.75300000000001,23.894000000000002,nan,nan,1893.08,16,0.0625,0.24206145913796356,"[0.0, 0.0, 0.0, 0.0, 1.0]"
nan,nan,nan,nan,0,3000,False,11000,0,5,1cea942ee6e04492b797d596ced16778,2020-06-12_21-49-00,1591998540,11.598713874816895,78.2178795337677,60524,nid03830,10.236.16.110,78.2178795337677,11000,5,11000,11000,227,0,0.6176470588235294,2.6,187.086,23.417,nan,nan,2045.0800000000002,22,0.045454545454545456,0.20829889522526548,"[0.0, 0.0, 0.0, 0.0, 1.0]"
nan,nan,nan,nan,0,3000,False,14000,0,6,1cea942ee6e04492b797d596ced16778,2020-06-12_21-49-11,1591998551,11.323000431060791,89.54087996482849,60524,nid03830,10.236.16.110,89.54087996482849,14000,6,14000,14000,282,0,0.65625,2.6187500000000004,170.478,22.936,nan,nan,1991.337,28,0.03571428571428571,0.18557687223952257,"[0.0, 0.0, 0.0, 0.0, 1.0]"
-4150.0,-36750.0,-19052.5,4000.0,4,2500,False,16500,4,7,1cea942ee6e04492b797d596ced16778,2020-06-12_21-49-23,1591998563,11.71783971786499,101.25871968269348,60524,nid03830,10.236.16.110,101.25871968269348,16500,7,16500,16500,338,0,0.611764705882353,2.7,191.957,20.879,nan,nan,1970.622,33,0.030303030303030304,0.17141982574219336,"[0.0, 0.0, 0.0, 0.0, 1.0]"
-4150.0,-36750.0,-19052.5,4000.0,0,3000,False,19500,4,8,1cea942ee6e04492b797d596ced16778,2020-06-12_21-49-35,1591998575,11.694754123687744,112.95347380638123,60524,nid03830,10.236.16.110,112.95347380638123,19500,8,19500,19500,394,0,0.6499999999999999,2.7,147.874,20.961000000000002,nan,nan,2080.844,39,0.02564102564102564,0.15806189751202504,"[0.0, 0.0, 0.0, 0.0, 1.0]"
-4150.0,-36750.0,-19052.5,4000.0,0,3000,False,22500,4,9,1cea942ee6e04492b797d596ced16778,2020-06-12_21-49-47,1591998587,11.95829463005066,124.91176843643188,60524,nid03830,10.236.16.110,124.91176843643188,22500,9,22500,22500,450,0,0.6294117647058823,2.7,183.014,23.501,nan,nan,2083.14,45,0.022222222222222223,0.14740554623801777,"[0.0, 0.0, 0.0, 0.0, 1.0]"
-4150.0,-36750.0,-19052.5,4000.0,0,2500,False,25000,4,10,1cea942ee6e04492b797d596ced16778,2020-06-12_21-49-59,1591998599,11.963382482528687,136.87515091896057,60524,nid03830,10.236.16.110,136.87515091896057,25000,10,25000,25000,504,0,0.6176470588235294,2.7,158.435,24.112000000000002,nan,nan,2084.117,50,0.02,0.13999999999999999,"[0.0, 0.0, 0.0, 0.0, 1.0]"
