episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,info/num_steps_trained,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_replayed,perf/cpu_util_percent,perf/ram_util_percent,info/timing_breakdown/optimizer_step_time_ms,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles
nan,nan,nan,nan,0,0,False,0,0,1,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-24-21,1591993461,40.84816288948059,40.84816288948059,30139,nid03824,10.236.16.120,40.84816288948059,0,1,0,0,0,0,2.28448275862069,2.610344827586207,10021.708,nan,nan,nan,nan,0,nan,nan,[]
nan,nan,nan,nan,0,8500,False,8500,0,2,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-24-33,1591993473,11.888422966003418,52.73658585548401,30139,nid03824,10.236.16.120,52.73658585548401,8500,2,8500,8500,175,0,1.7470588235294118,2.8,94.74,22.526,nan,nan,645.65,17,0.35294117647058826,0.8360394355030526,"[0.0, 0.0, 0.0, 1.4000000000000004, 3.0]"
nan,nan,nan,nan,0,9500,False,18000,0,3,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-24-44,1591993484,11.486311197280884,64.22289705276489,30139,nid03824,10.236.16.120,64.22289705276489,18000,3,18000,18000,367,0,1.9117647058823533,2.8,109.19200000000001,22.364,nan,nan,572.912,36,0.16666666666666666,0.6009252125773316,"[0.0, 0.0, 0.0, 0.0, 3.0]"
nan,nan,nan,nan,0,9000,False,27000,0,4,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-24-55,1591993495,11.167909145355225,75.39080619812012,30139,nid03824,10.236.16.120,75.39080619812012,27000,4,27000,27000,549,0,1.925,2.8,94.261,22.353,nan,nan,610.5070000000001,54,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
nan,nan,nan,nan,0,9500,False,36500,0,5,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-25-07,1591993507,11.361790657043457,86.75259685516357,30139,nid03824,10.236.16.120,86.75259685516357,36500,5,36500,36500,737,0,1.9875,2.8,140.236,22.013,nan,nan,520.23,73,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
nan,nan,nan,nan,0,9000,False,45500,0,6,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-25-18,1591993518,11.058660745620728,97.8112576007843,30139,nid03824,10.236.16.120,97.8112576007843,45500,6,45500,45500,914,0,1.8933333333333333,2.8,131.145,23.25,nan,nan,551.845,91,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
nan,nan,nan,nan,0,9500,False,55000,0,7,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-25-29,1591993529,11.378401517868042,109.18965911865234,30139,nid03824,10.236.16.120,109.18965911865234,55000,7,55000,55000,1107,0,1.96875,2.8,133.499,22.971,nan,nan,511.366,110,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-10550.0,-34610.0,-24508.666666666668,4000.0,15,9000,False,64000,15,8,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-25-40,1591993540,10.825017929077148,120.01467704772949,30139,nid03824,10.236.16.120,120.01467704772949,64000,8,64000,64000,1281,0,1.8875000000000002,2.8,143.456,22.891000000000002,nan,nan,518.24,128,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-34610.0,-22777.647058823528,3774.0,2,9000,False,73000,17,9,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-25-52,1591993552,11.749317407608032,131.76399445533752,30139,nid03824,10.236.16.120,131.76399445533752,73000,9,73000,73000,1461,0,1.925,2.8,163.588,23.674,nan,nan,565.263,146,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-34610.0,-22777.647058823528,3774.0,0,8500,False,81500,17,10,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-26-04,1591993564,11.387685298919678,143.1516797542572,30139,nid03824,10.236.16.120,143.1516797542572,81500,10,81500,81500,1639,0,1.8176470588235294,2.8,196.524,23.21,nan,nan,582.177,163,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-34610.0,-22777.647058823528,3774.0,0,9500,False,91000,17,11,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-26-15,1591993575,11.68359375,154.8352735042572,30139,nid03824,10.236.16.120,154.8352735042572,91000,11,91000,91000,1825,0,1.9874999999999998,2.8,186.564,21.467,nan,nan,529.944,182,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-34610.0,-22777.647058823528,3774.0,0,9000,False,100000,17,12,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-26-27,1591993587,11.036722183227539,165.87199568748474,30139,nid03824,10.236.16.120,165.87199568748474,100000,12,100000,100000,2004,0,1.95,2.8562499999999997,202.905,21.798000000000002,nan,nan,535.044,200,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-34610.0,-22777.647058823528,3774.0,0,9500,False,109500,17,13,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-26-38,1591993598,11.78149700164795,177.6534926891327,30139,nid03824,10.236.16.120,177.6534926891327,109500,13,109500,109500,2195,0,1.9,2.9,183.227,23.607,nan,nan,526.824,219,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-34610.0,-22777.647058823528,3774.0,0,8500,False,118000,17,14,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-26-49,1591993609,10.814551830291748,188.46804451942444,30139,nid03824,10.236.16.120,188.46804451942444,118000,14,118000,118000,2369,0,1.9933333333333332,2.9,201.26500000000001,23.159,nan,nan,551.556,236,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-38090.0,-25551.612903225807,3876.064516129032,14,9500,False,127500,31,15,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-27-01,1591993621,11.518841743469238,199.98688626289368,30139,nid03824,10.236.16.120,199.98688626289368,127500,15,127500,127500,2551,0,1.9058823529411764,2.9,209.143,22.241,nan,nan,582.1270000000001,255,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-38090.0,-26172.727272727272,3883.5757575757575,2,9000,False,136500,33,16,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-27-12,1591993632,11.04750108718872,211.0343873500824,30139,nid03824,10.236.16.120,211.0343873500824,136500,16,136500,136500,2730,0,2.04,2.9,233.74800000000002,24.579,nan,nan,533.315,273,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-38090.0,-26172.727272727272,3883.5757575757575,0,9000,False,145500,33,17,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-27-24,1591993644,11.438964128494263,222.47335147857666,30139,nid03824,10.236.16.120,222.47335147857666,145500,17,145000,145500,2910,0,1.9058823529411764,2.9,248.234,24.367,nan,nan,491.16700000000003,291,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-38090.0,-26172.727272727272,3883.5757575757575,0,9000,False,154500,33,18,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-27-35,1591993655,11.442899703979492,233.91625118255615,30139,nid03824,10.236.16.120,233.91625118255615,154500,18,154500,154500,3095,0,2.01875,2.9,229.041,21.923000000000002,nan,nan,544.546,309,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-38090.0,-26172.727272727272,3883.5757575757575,0,9500,False,164000,33,19,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-27-46,1591993666,11.27501893043518,245.19127011299133,30139,nid03824,10.236.16.120,245.19127011299133,164000,19,164000,164000,3283,0,2.0125,2.9,233.334,24.213,nan,nan,507.612,328,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
-1330.0,-38090.0,-26172.727272727272,3883.5757575757575,0,8500,False,172500,33,20,54004d8288a14dfc99ff6ed56d1ef713,2020-06-12_20-27-57,1591993677,10.804228782653809,255.99549889564514,30139,nid03824,10.236.16.120,255.99549889564514,172500,20,172500,172500,3453,0,2.0200000000000005,2.9,259.971,23.128,nan,nan,573.691,345,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
