Velocity,relax_u,relax_p,Iterations for convergence,magnitude of velocity,res_ux,res_uy,res_p,reward
7.333000000000000185e+00,5.000000000000000000e-01,6.999999999999999556e-01,1.000000000000000000e+02,8.654299449920654297e+01,3.129069999999999855e-03,8.107420000000000598e-03,3.098000000000000059e-02,0.000000000000000000e+00
7.333000000000000185e+00,5.435651540756225586e-01,4.000000000000000222e-01,2.000000000000000000e+02,8.981518363952636719e+01,1.967270000000000130e-03,1.043660000000000074e-02,3.029779999999999973e-02,0.000000000000000000e+00
7.333000000000000185e+00,5.887061953544616699e-01,6.298674941062927246e-01,3.000000000000000000e+02,9.049802112579345703e+01,1.676189999999999928e-03,6.366919999999999871e-03,1.355360000000000072e-02,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,6.999999999999999556e-01,4.000000000000000000e+02,9.075478363037109375e+01,1.051950000000000064e-03,3.331499999999999826e-03,5.604650000000000083e-03,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,4.000000000000000222e-01,5.000000000000000000e+02,9.202648830413818359e+01,1.467189999999999944e-03,6.727470000000000151e-03,5.057749999999999746e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,6.000000000000000000e+02,9.255396366119384766e+01,6.292789999999999495e-04,3.831730000000000205e-03,3.270939999999999959e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,7.000000000000000000e+02,9.290164089202880859e+01,4.708350000000000144e-04,3.095479999999999846e-03,2.192079999999999897e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,6.999999999999999556e-01,8.000000000000000000e+02,9.294508266448974609e+01,3.160850000000000205e-04,1.824789999999999962e-03,1.636539999999999913e-03,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,4.000000000000000222e-01,9.000000000000000000e+02,9.320946693420410156e+01,3.976009999999999766e-04,2.625549999999999932e-03,2.074990000000000081e-03,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,4.000000000000000222e-01,1.000000000000000000e+03,9.322231578826904297e+01,2.081580000000000084e-04,1.342950000000000090e-03,1.425679999999999916e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,6.999999999999999556e-01,1.002000000000000000e+03,9.322336578369140625e+01,9.091530000000000011e-05,6.701329999999999483e-04,6.431039999999999847e-03,-1.002000000000000000e+03
7.333000000000000185e+00,5.694103240966796875e-01,4.000000000000000222e-01,1.000000000000000000e+02,8.788141822814941406e+01,3.226670000000000059e-03,8.228269999999999335e-03,4.092989999999999823e-02,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,2.000000000000000000e+02,9.007162857055664062e+01,1.456720000000000107e-03,7.120630000000000188e-03,1.825370000000000117e-02,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,3.000000000000000000e+02,9.055059242248535156e+01,1.164029999999999926e-03,4.556219999999999715e-03,1.122719999999999968e-02,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,4.000000000000000000e+02,9.071330738067626953e+01,1.071190000000000076e-03,3.315269999999999936e-03,5.035869999999999583e-03,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,6.999999999999999556e-01,5.000000000000000000e+02,9.190832233428955078e+01,1.480549999999999965e-03,6.794970000000000003e-03,2.501639999999999853e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,6.000000000000000000e+02,9.244206619262695312e+01,6.559060000000000454e-04,3.853549999999999857e-03,3.199790000000000099e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,7.000000000000000000e+02,9.281208801269531250e+01,5.416120000000000179e-04,3.561299999999999882e-03,2.422769999999999872e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,8.000000000000000000e+02,9.286717414855957031e+01,4.027549999999999750e-04,2.428109999999999817e-03,1.968679999999999996e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,9.000000000000000000e+02,9.302160358428955078e+01,2.570919999999999976e-04,1.593030000000000054e-03,1.529720000000000038e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,6.999999999999999556e-01,1.000000000000000000e+03,9.318598365783691406e+01,2.144659999999999893e-04,1.457739999999999904e-03,1.350759999999999895e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,1.100000000000000000e+03,9.321808433532714844e+01,1.454059999999999966e-04,1.374229999999999939e-03,1.509069999999999943e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,1.145000000000000000e+03,9.320418834686279297e+01,1.229779999999999871e-04,9.958079999999999363e-04,1.048139999999999922e-03,-1.145000000000000000e+03
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,1.000000000000000000e+02,8.670424747467041016e+01,2.996210000000000019e-03,6.671879999999999825e-03,3.695570000000000105e-02,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,6.999999999999999556e-01,2.000000000000000000e+02,8.956024932861328125e+01,1.654510000000000095e-03,7.350980000000000014e-03,2.095320000000000168e-02,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,6.999999999999999556e-01,3.000000000000000000e+02,9.039856624603271484e+01,1.228300000000000095e-03,5.138379999999999684e-03,9.585760000000000461e-03,0.000000000000000000e+00
7.333000000000000185e+00,6.914796829223632812e-01,4.000000000000000222e-01,4.000000000000000000e+02,9.109167194366455078e+01,1.893359999999999965e-03,7.368610000000000264e-03,8.553210000000000326e-03,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,6.999999999999999556e-01,5.000000000000000000e+02,9.215498256683349609e+01,1.432279999999999968e-03,8.421349999999999322e-03,3.115259999999999904e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,6.000000000000000000e+02,9.261610507965087891e+01,6.811319999999999831e-04,5.263490000000000009e-03,4.174040000000000389e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,6.999999999999999556e-01,7.000000000000000000e+02,9.278581809997558594e+01,4.439530000000000234e-04,3.308670000000000101e-03,1.627669999999999898e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,8.000000000000000000e+02,9.290430450439453125e+01,2.895020000000000210e-04,1.522740000000000074e-03,1.704110000000000000e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.090035200119018555e-01,6.999999999999999556e-01,9.000000000000000000e+02,9.310445022583007812e+01,2.074129999999999876e-04,1.090679999999999905e-03,1.428980000000000051e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,9.840000000000000000e+02,9.319959640502929688e+01,1.483669999999999976e-04,9.990549999999999951e-04,1.681149999999999962e-03,-9.840000000000000000e+02
7.333000000000000185e+00,6.999999999999999556e-01,4.000000000000000222e-01,1.000000000000000000e+02,9.039390563964843750e+01,3.402710000000000196e-03,1.346830000000000076e-02,2.752929999999999960e-02,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,2.000000000000000000e+02,9.095052909851074219e+01,1.175899999999999905e-03,4.595130000000000221e-03,1.029580000000000078e-02,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,4.000000000000000222e-01,3.000000000000000000e+02,9.154212856292724609e+01,1.781229999999999966e-03,8.052810000000000523e-03,6.134240000000000005e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,4.000000000000000000e+02,9.204574298858642578e+01,6.686829999999999944e-04,3.638499999999999807e-03,2.944449999999999932e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,5.000000000000000000e+02,9.263968849182128906e+01,6.971819999999999667e-04,4.239940000000000202e-03,3.862249999999999798e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,6.000000000000000000e+02,9.288326168060302734e+01,5.724630000000000517e-04,3.674520000000000130e-03,2.524450000000000131e-03,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,4.000000000000000222e-01,7.000000000000000000e+02,9.316887474060058594e+01,7.025350000000000084e-04,3.873699999999999886e-03,2.612370000000000143e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,6.999999999999999556e-01,8.000000000000000000e+02,9.319659233093261719e+01,2.301349999999999913e-04,1.923060000000000090e-03,1.289959999999999935e-03,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,6.999999999999999556e-01,8.980000000000000000e+02,9.324140167236328125e+01,2.029020000000000031e-04,9.900320000000000648e-04,1.541279999999999907e-03,-8.980000000000000000e+02
