# Forces     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
1            	((1.544284e+02 8.038607e+02 -9.964554e-17) (8.968896e-01 1.548626e-01 2.062501e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.205791e+02 2.316426e+01 4.065410e+02) (-2.322939e-02 1.345334e-01 6.584923e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2            	((7.754188e+01 6.166252e+02 -4.427568e-17) (1.139767e+00 -6.414514e-02 1.986811e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.249377e+01 1.163128e+01 2.976880e+02) (9.621771e-03 1.709650e-01 -4.505852e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
3            	((-3.326021e+01 3.147935e+01 2.087910e-17) (1.117769e+00 -3.073090e-01 -7.868440e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.721903e+00 -4.989031e+00 -1.691977e+01) (4.609634e-02 1.676654e-01 -1.748942e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
4            	((-4.928523e+01 -3.293848e+02 2.044553e-17) (1.011903e+00 -2.446242e-01 -8.696731e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.940772e+01 -7.392785e+00 -2.022175e+02) (3.669363e-02 1.517854e-01 -1.311153e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
5            	((-1.157136e+01 -2.786114e+02 -7.288333e-18) (9.294452e-01 -1.331802e-02 -6.929571e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.179170e+01 -1.735703e+00 -1.616243e+02) (1.997703e-03 1.394168e-01 4.757451e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
6            	((1.345344e+01 -2.741586e+01 -1.725651e-17) (9.409903e-01 1.234296e-01 3.730948e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.112380e+00 2.018016e+00 -1.306782e+01) (-1.851444e-02 1.411485e-01 7.539056e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
7            	((7.856897e+00 1.653455e+02 -6.196905e-18) (9.790382e-01 1.334439e-01 -1.806744e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.480183e+01 1.178534e+00 9.291896e+01) (-2.001659e-02 1.468557e-01 6.488077e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
8            	((-1.813836e+00 1.894540e+02 5.009208e-18) (9.772022e-01 6.574447e-02 -5.498256e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.841810e+01 -2.720754e-01 9.661719e+01) (-9.861671e-03 1.465803e-01 1.166793e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
9            	((-1.505421e+00 1.075237e+02 3.860826e-18) (9.492522e-01 -6.775836e-03 -4.675803e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.612855e+01 -2.258131e-01 3.948248e+01) (1.016375e-03 1.423878e-01 -3.120575e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
10           	((1.934949e+00 1.620184e+01 -8.301369e-19) (9.113026e-01 -3.447244e-02 -3.364684e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.430276e+00 2.902423e-01 -1.756897e+01) (5.170867e-03 1.366954e-01 -3.615784e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
